"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent","Age-adjusted percent"
"2022","Citywide","1","0","-","-","New York City","New York City","289,000","4.3 (3.8, 5.0)","4.3 (3.7, 4.9)"
"2022","Borough","1","1","1","Bronx","Bronx","Bronx","68,000","6.5 (5.2, 8.1)","6.4 (5.1, 8.0)"
"2022","Borough","3","1","3","Manhattan","Manhattan","Manhattan","61,000","4.5 (3.1, 6.4)","4.5 (3.1, 6.5)"
"2022","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","87,000","4.3 (3.4, 5.5)","4.3 (3.3, 5.5)"
"2022","Borough","5","1","5","Staten Island","Staten Island","Staten Island","15,000*","3.9* (2.0, 7.4)","3.9* (1.9, 7.8)"
"2022","Borough","4","1","4","Queens","Queens","Queens","59,000","3.1 (2.4, 4.2)","3.1 (2.3, 4.2)"
"2021","Citywide","1","0","-","-","New York City","New York City","309,000","4.9 (4.2, 5.6)","4.9 (4.2, 5.6)"
"2021","Borough","1","1","1","Bronx","Bronx","Bronx","74,000","7.3 (5.6, 9.6)","7.4 (5.6, 9.6)"
"2021","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","99,000","5.2 (4.0, 6.6)","5.2 (4.0, 6.7)"
"2021","Borough","3","1","3","Manhattan","Manhattan","Manhattan","66,000","5.0 (3.6, 6.8)","5.2 (3.7, 7.1)"
"2021","Borough","5","1","5","Staten Island","Staten Island","Staten Island","16,000*","4.4* (2.4, 7.9)","4.5* (2.4, 8.1)"
"2021","Borough","4","1","4","Queens","Queens","Queens","54,000","3.1 (2.3, 4.1)","3.0 (2.2, 4.0)"
"2020","Citywide","1","0","-","-","New York City","New York City","242,000","3.8 (3.2, 4.4)","3.8 (3.2, 4.4)"
"2020","Borough","1","1","1","Bronx","Bronx","Bronx","51,000","5.0 (3.5, 7.0)","5.2 (3.7, 7.3)"
"2020","Borough","3","1","3","Manhattan","Manhattan","Manhattan","56,000","4.2 (3.1, 5.7)","4.3 (3.1, 5.7)"
"2020","Borough","5","1","5","Staten Island","Staten Island","Staten Island","16,000","4.3 (2.5, 7.3)","4.2 (2.4, 7.1)"
"2020","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","73,000","3.8 (2.9, 4.9)","3.8 (2.9, 4.9)"
"2020","Borough","4","1","4","Queens","Queens","Queens","46,000","2.6 (1.7, 3.9)","2.6 (1.7, 4.0)"
"2019","Citywide","1","0","-","-","New York City","New York City","293,000","4.5 (3.9, 5.3)","4.5 (3.9, 5.3)"
"2019","Borough","1","1","1","Bronx","Bronx","Bronx","64,000","6.1 (4.5, 8.4)","6.1 (4.5, 8.3)"
"2019","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","103,000","5.3 (4.1, 6.7)","5.3 (4.1, 6.7)"
"2019","Borough","5","1","5","Staten Island","Staten Island","Staten Island","18,000*","4.8* (2.5, 9.2)","4.5* (2.3, 8.6)"
"2019","Borough","3","1","3","Manhattan","Manhattan","Manhattan","61,000","4.6 (3.1, 6.8)","4.5 (3.1, 6.6)"
"2019","Borough","4","1","4","Queens","Queens","Queens","48,000","2.7 (1.8, 3.8)","2.7 (1.8, 3.8)"
"2018","Citywide","1","0","-","-","New York City","New York City","293,000","4.4 (3.8, 5.1)","4.4 (3.8, 5.1)"
"2018","Borough","1","1","1","Bronx","Bronx","Bronx","71,000","6.6 (5.1, 8.4)","6.6 (5.1, 8.5)"
"2018","Borough","3","1","3","Manhattan","Manhattan","Manhattan","73,000","5.4 (4.0, 7.2)","5.4 (4.0, 7.1)"
"2018","Borough","4","1","4","Queens","Queens","Queens","68,000","3.7 (2.7, 5.1)","3.7 (2.6, 5.1)"
"2018","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","72,000","3.6 (2.7, 4.7)","3.6 (2.7, 4.7)"
"2018","Borough","5","1","5","Staten Island","Staten Island","Staten Island","9,000*","2.5* (1.2, 5.2)","2.5* (1.1, 5.4)"
"2017","Citywide","1","0","-","-","New York City","New York City","289,000","4.4 (3.8, 5.0)","4.3 (3.8, 4.9)"
"2017","Borough","1","1","1","Bronx","Bronx","Bronx","74,000","7.0 (5.5, 8.8)","6.8 (5.4, 8.5)"
"2017","Borough","3","1","3","Manhattan","Manhattan","Manhattan","61,000","4.5 (3.3, 6.2)","4.6 (3.3, 6.3)"
"2017","Borough","4","1","4","Queens","Queens","Queens","76,000","4.1 (3.1, 5.5)","3.9 (2.9, 5.3)"
"2017","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","73,000","3.7 (2.9, 4.6)","3.7 (2.9, 4.6)"
"2017","Borough","5","1","5","Staten Island","Staten Island","Staten Island","6,000*","1.6* (0.8, 3.0)","1.7* (0.9, 3.3)"
"2016","Citywide","1","0","-","-","New York City","New York City","313,000","4.8 (4.1, 5.5)","4.8 (4.1, 5.5)"
"2016","Borough","5","1","5","Staten Island","Staten Island","Staten Island","22,000","6.2 (3.6, 10.6)","6.3 (3.6, 10.6)"
"2016","Borough","1","1","1","Bronx","Bronx","Bronx","66,000","6.3 (4.7, 8.2)","6.2 (4.7, 8.1)"
"2016","Borough","4","1","4","Queens","Queens","Queens","91,000","5.0 (3.6, 6.9)","5.0 (3.6, 6.9)"
"2016","Borough","3","1","3","Manhattan","Manhattan","Manhattan","55,000","4.1 (2.8, 5.9)","4.1 (2.8, 6.0)"
"2016","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","78,000","3.9 (3.0, 5.1)","4.0 (3.1, 5.1)"
"2015","Citywide","1","0","-","-","New York City","New York City","389,000","6.0 (5.4, 6.6)","5.9 (5.3, 6.6)"
"2015","Borough","1","1","1","Bronx","Bronx","Bronx","81,000","7.8 (6.5, 9.4)","7.7 (6.5, 9.3)"
"2015","Borough","3","1","3","Manhattan","Manhattan","Manhattan","81,000","6.1 (4.8, 7.8)","6.1 (4.8, 7.7)"
"2015","Borough","5","1","5","Staten Island","Staten Island","Staten Island","21,000","5.8 (3.6, 9.3)","5.6 (3.3, 9.1)"
"2015","Borough","4","1","4","Queens","Queens","Queens","99,000","5.5 (4.3, 7.0)","5.4 (4.2, 6.9)"
"2015","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","106,000","5.4 (4.5, 6.6)","5.3 (4.4, 6.5)"
"2014","Citywide","1","0","-","-","New York City","New York City","238,000","3.7 (3.2, 4.3)","3.7 (3.2, 4.2)"
"2014","Borough","5","1","5","Staten Island","Staten Island","Staten Island","17,000","4.8 (3.2, 7.2)","5.0 (3.3, 7.6)"
"2014","Borough","1","1","1","Bronx","Bronx","Bronx","48,000","4.7 (3.5, 6.3)","4.7 (3.5, 6.3)"
"2014","Borough","3","1","3","Manhattan","Manhattan","Manhattan","55,000","4.2 (3.0, 5.7)","4.1 (3.0, 5.6)"
"2014","Borough","4","1","4","Queens","Queens","Queens","59,000","3.3 (2.4, 4.5)","3.2 (2.4, 4.5)"
"2014","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","59,000","3.0 (2.3, 4.0)","3.0 (2.3, 3.9)"
"2013","Citywide","1","0","-","-","New York City","New York City","246,000","3.9 (3.4, 4.4)","3.9 (3.4, 4.4)"
"2013","Borough","1","1","1","Bronx","Bronx","Bronx","60,000","6.0 (4.6, 7.9)","6.3 (4.8, 8.3)"
"2013","Borough","3","1","3","Manhattan","Manhattan","Manhattan","56,000","4.3 (3.2, 5.7)","4.3 (3.2, 5.8)"
