TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2022,UHF34,101,3,Kingsbridge - Riverdale,"5,000*","7.2* (2.9, 17.1)"
2022,UHF34,102,3,Northeast Bronx,"11,000*","6.8* (3.4, 13.1)"
2022,UHF34,103,3,Fordham - Bronx Pk,"42,000","22.4 (15.0, 32.0)"
2022,UHF34,104,3,Pelham - Throgs Neck,"22,000","9.4 (6.0, 14.6)"
2022,UHF34,201,3,Greenpoint,"10,000*","8.8* (4.3, 17.2)"
2022,UHF34,202,3,Downtown - Heights - Slope,"11,000*","5.3* (2.9, 9.5)"
2022,UHF34,203,3,Bedford Stuyvesant - Crown Heights,"31,000","11.5 (7.4, 17.3)"
2022,UHF34,204,3,East New York,"19,000","12.3 (7.3, 20.2)"
2022,UHF34,205,3,Sunset Park,"5,000*","5.0* (2.1, 11.3)"
2022,UHF34,206,3,Borough Park,"11,000*","4.9* (2.4, 9.7)"
2022,UHF34,207,3,East Flatbush - Flatbush,"18,000","7.1 (4.2, 11.8)"
2022,UHF34,208,3,Canarsie - Flatlands,"12,000","7.3 (4.2, 12.4)"
2022,UHF34,209,3,Bensonhurst - Bay Ridge,"19,000*","11.3* (5.3, 22.5)"
2022,UHF34,210,3,Coney Island - Sheepshead Bay,"34,000","14.6 (9.8, 21.2)"
2022,UHF34,211,3,Williamsburg - Bushwick,"24,000","13.4 (9.1, 19.2)"
2022,UHF34,301,3,Washington Heights,"16,000*","7.3* (2.7, 18.4)"
2022,UHF34,302,3,Central Harlem - Morningside Heights,"10,000*","7.6* (3.8, 14.8)"
2022,UHF34,303,3,East Harlem,"3,000*","3.4* (1.6, 6.9)"
2022,UHF34,304,3,Upper West Side,"14,000*","7.6* (3.5, 15.5)"
2022,UHF34,401,3,Long Island City - Astoria,"9,000","5.1 (2.9, 8.9)"
2022,UHF34,402,3,West Queens,"15,000","4.2 (2.5, 7.1)"
2022,UHF34,403,3,Flushing - Clearview,"14,000*","6.7* (2.7, 15.5)"
2022,UHF34,405,3,Ridgewood - Forest Hills,"23,000","10.8 (6.1, 18.3)"
2022,UHF34,407,3,Southwest Queens,"22,000*","9.5* (4.6, 18.6)"
2022,UHF34,408,3,Jamaica,"14,000*","5.6* (2.7, 11.2)"
2022,UHF34,409,3,Southeast Queens,"8,000*","4.7* (1.9, 10.8)"
2022,UHF34,410,3,Rockaways,"7,000","7.1 (4.0, 12.4)"
2022,UHF34,305307,3,Upper East Side-Gramercy,"20,000*","6.8* (3.3, 13.4)"
2022,UHF34,306308,3,Chelsea-Village  ,"31,000","14.6 (8.0, 25.1)"
2022,UHF34,309310,3,Union Square-Lower Manhattan,"17,000*","8.0* (4.3, 14.4)"
2022,UHF34,404406,3,Bayside Little Neck-Fresh Meadows,"3,000*","2.2* (1.1, 4.6)"
2022,UHF34,501502,3,Northern SI,"20,000*","13.4* (7.2, 23.6)"
2022,UHF34,503504,3,Southern SI,"25,000","11.0 (7.0, 16.9)"
2022,UHF34,105106107,3,South Bronx,"45,000","11.0 (8.2, 14.6)"
2022,Borough,1,1,Bronx,"124,000","11.8 (9.6, 14.4)"
2022,Borough,2,1,Brooklyn,"192,000","9.4 (8.0, 11.1)"
2022,Borough,3,1,Manhattan,"112,000","8.2 (6.1, 11.0)"
2022,Borough,4,1,Queens,"116,000","6.2 (4.8, 7.9)"
2022,Borough,5,1,Staten Island,"45,000","12.0 (8.3, 17.0)"
2022,Citywide,1,0,New York City,"590,000","8.8 (7.9, 9.8)"
2021,UHF34,101,3,Kingsbridge - Riverdale,"5,000*","6.7* (3.2, 13.6)"
