year,ridership,city
2002,95292940.0,Houston
2003,90937669.0,Houston
2004,95992059.0,Houston
2005,97380271.0,Houston
2006,102681747.0,Houston
2007,101711843.0,Houston
2008,96583331.0,Houston
2009,85673389.0,Houston
2010,81206219.0,Houston
2011,81928229.0,Houston
2012,82222674.0,Houston
2013,84550978.0,Houston
2014,86253694.0,Houston
2015,87726881.0,Houston
2016,89495225.0,Houston
2017,89446862.0,Houston
2018,90319661.0,Houston
2019,90600933.0,Houston
2020,53972756.0,Houston
2021,47345733.0,Houston
2022,60469324.0,Houston
2023,71571861.0,Houston
2024,77782634.0,Houston
2025,78805312.0,Houston
